КодКатегории,ЧастотаПродаж,Цена,ДлинаЕд,ДлинаЕд.1,ШиринаЕд,ШиринаЕд.1,ВысотаЕд,ВысотаЕд.1,Остаток,ВсегоТовара,Количество,НаВитрине,Транзит,Транзит.1,НаСкладе
MA10209,1.1624413e-06,410.0,0.2000000029802322,0,0.2000000029802322,0,0.0099999997764825,0,,0,,0,,0,0.0
GF18397,1.0133481e-06,12999.0,0.1700000017881393,0,0.1500000059604644,0,0.0799999982118606,0,,0,,0,,0,0.0
GF18165,1.0977591e-06,8199.0,0.550000011920929,0,0.2649999856948852,0,0.4799999892711639,0,,0,,0,,0,0.0
GF18248,0.020684112,2099.0,0.1000000014901161,0,0.050000000745058,0,0.0199999995529651,0,1.0,0,1.0,0,0.0,0,0.0
GF19429,0.0036380342,2050.0,0.3600000143051147,0,0.1400000005960464,0,0.1700000017881393,0,,0,,0,,0,0.0
GF18250,0.023512237,13999.0,,0,,0,,0,,0,,0,,0,0.0
FE43821,1.1380098e-06,480.0,0.6499999761581421,0,0.0599999986588954,0,0.0199999995529651,0,,0,,0,,0,0.0
GF19440,1.1512053e-06,3399.0,0.2199999988079071,0,0.1700000017881393,0,0.1899999976158142,0,,0,,0,,0,0.0
GF18217,1.001876e-06,4199.0,0.1099999994039535,0,0.0399999991059303,0,0.1500000059604644,0,,0,,0,,0,0.0
MA00325,0.0030644499,1799.0,,0,,0,,0,,0,,0,,0,0.0
GF18521,0.016985396,36999.0,1.2000000476837158,0,0.1599999964237213,0,0.7699999809265137,0,,0,,0,,0,0.0
GF20759,0.014959505,6899.0,0.4300000071525574,0,0.1400000005960464,0,0.2000000029802322,0,,0,,0,,0,0.0
GF20759,0.004840562,9199.0,0.2599999904632568,0,0.1949999928474426,0,0.3000000119209289,0,,0,,0,,0,0.0
MA10209,0.0081746755,1099.0,0.2300000041723251,0,0.2800000011920929,0,0.0099999997764825,0,,0,,0,,0,0.0
MA10209,0.006024159,799.0,0.2300000041723251,0,0.2800000011920929,0,0.0099999997764825,0,,0,,0,,0,0.0
MA10209,0.0038736423,1399.0,0.3000000119209289,0,0.2599999904632568,0,0.0099999997764825,0,1.0,0,,0,0.0,0,1.0
MA10209,0.006024159,2999.0,0.3600000143051147,0,0.3000000119209289,0,0.0099999997764825,0,,0,,0,,0,0.0
MA10209,0.0038736423,770.0,0.3300000131130218,0,0.2800000011920929,0,0.0099999997764825,0,,0,,0,,0,0.0
MA10223,0.004251598,430.0,0.050000000745058,0,0.209999993443489,0,0.0049999998882412,0,,0,,0,,0,0.0
MA76021,1.1099781e-06,,0.0199999995529651,0,0.135000005364418,0,0.1749999970197677,0,,0,,0,,0,0.0
GF20768,1.1046153e-06,4799.0,0.3199999928474426,0,0.1099999994039535,0,0.1949999928474426,0,,0,,0,,0,0.0
GF19446,9.216183e-07,1099.0,0.3600000143051147,0,0.0599999986588954,0,0.3600000143051147,0,,0,,0,,0,0.0
GF19446,9.216183e-07,999.0,0.3199999928474426,0,0.0700000002980232,0,0.3199999928474426,0,,0,,0,,0,0.0
MA09649,0.003584855,19999.0,0.4900000095367431,0,0.6800000071525574,0,1.5,0,,0,,0,,0,0.0
GF18200,1.1301788e-06,3299.0,0.4399999976158142,0,0.3400000035762787,0,0.1199999973177909,0,,0,,0,,0,0.0
